Label:, CH1-2: é¸îgêîâûìöä÷êî
DateTime:, Thu Feb 08 16:38:01 2018
DataKind:, CH1-2, FRF, Mag
DataPoints:, 1601
DataCalc:, H1
Frequency:, 0.000 , 4000.000, Hz
Sample:, 4096, Internal
Average:, 3, Power/Sum
Voltage(CH1):, -20.000, dBVrms
Voltage(CH2):, -10.000, dBVrms
EU/V(CH1):, 3.757E+001
EU/V(CH2):, 1.088E+003
Window(CH1):, Rect
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, m/s2/N
Y-AxisMagniude:
0.00000000E+000, 2.94020242E+001
2.50000000E+000, 6.93688930E+000
5.00000000E+000, -2.14580200E+000
7.50000000E+000, 8.65917342E-001
1.00000000E+001, 1.51222930E+000
1.25000000E+001, 3.83070466E+000
1.50000000E+001, 2.85805917E-001
1.75000000E+001, -5.49904850E+000
2.00000000E+001, 4.83014089E+000
2.25000000E+001, -1.76704750E+000
2.50000000E+001, 3.66156342E+000
2.75000000E+001, 2.44188287E+000
3.00000000E+001, -5.67382943E+000
3.25000000E+001, -9.34219388E-001
3.50000000E+001, -2.89433018E-001
3.75000000E+001, 4.14457340E-001
4.00000000E+001, 2.55277671E+000
4.25000000E+001, -2.37170486E+000
4.50000000E+001, 3.37665434E+000
4.75000000E+001, 2.73269216E+000
5.00000000E+001, 1.93053291E+000
5.25000000E+001, -1.84021927E+000
5.50000000E+001, 4.76343911E+000
5.75000000E+001, 5.18780901E+000
6.00000000E+001, 7.59211436E+000
6.25000000E+001, 6.85349111E+000
6.50000000E+001, 9.52026780E+000
6.75000000E+001, 6.01596178E+000
7.00000000E+001, 8.48915033E+000
7.25000000E+001, 9.25305012E+000
7.50000000E+001, 8.92374331E+000
7.75000000E+001, 9.49570047E+000
8.00000000E+001, 9.82317843E+000
8.25000000E+001, 1.25537659E+001
8.50000000E+001, 1.16103533E+001
8.75000000E+001, 1.17300704E+001
9.00000000E+001, 1.29733357E+001
9.25000000E+001, 1.39313493E+001
9.50000000E+001, 1.36544854E+001
9.75000000E+001, 1.39747612E+001
1.00000000E+002, 1.50830173E+001
1.02500000E+002, 1.62194244E+001
1.05000000E+002, 1.62031362E+001
1.07500000E+002, 1.75552192E+001
1.10000000E+002, 1.83189565E+001
1.12500000E+002, 1.78810559E+001
1.15000000E+002, 1.92280580E+001
1.17500000E+002, 2.12193326E+001
1.20000000E+002, 2.46159331E+001
1.22500000E+002, 2.59020278E+001
1.25000000E+002, 2.77095938E+001
1.27500000E+002, 2.92141027E+001
1.30000000E+002, 3.09288450E+001
1.32500000E+002, 3.29427622E+001
1.35000000E+002, 3.55880085E+001
1.37500000E+002, 3.88953805E+001
1.40000000E+002, 4.43755747E+001
1.42500000E+002, 5.88440945E+001
1.45000000E+002, 4.53298197E+001
1.47500000E+002, 3.93525036E+001
1.50000000E+002, 3.65336003E+001
1.52500000E+002, 3.45191159E+001
1.55000000E+002, 3.28831490E+001
1.57500000E+002, 3.13533619E+001
1.60000000E+002, 3.02766002E+001
1.62500000E+002, 2.91754282E+001
1.65000000E+002, 2.82977550E+001
1.67500000E+002, 2.76988324E+001
1.70000000E+002, 2.68306189E+001
1.72500000E+002, 2.66256700E+001
1.75000000E+002, 2.57493814E+001
1.77500000E+002, 2.54716232E+001
1.80000000E+002, 2.50689879E+001
1.82500000E+002, 2.48299102E+001
1.85000000E+002, 2.44229681E+001
1.87500000E+002, 2.36657579E+001
1.90000000E+002, 2.37040521E+001
1.92500000E+002, 2.31729136E+001
1.95000000E+002, 2.26950685E+001
1.97500000E+002, 2.26744116E+001
2.00000000E+002, 2.17720292E+001
2.02500000E+002, 2.26092770E+001
2.05000000E+002, 2.19851190E+001
2.07500000E+002, 2.15359326E+001
2.10000000E+002, 2.16892243E+001
2.12500000E+002, 2.14222568E+001
2.15000000E+002, 2.13576249E+001
2.17500000E+002, 2.13562518E+001
2.20000000E+002, 2.08409913E+001
2.22500000E+002, 2.09331040E+001
2.25000000E+002, 2.06363125E+001
2.27500000E+002, 2.07639059E+001
2.30000000E+002, 2.04343025E+001
2.32500000E+002, 1.99612477E+001
2.35000000E+002, 1.93104603E+001
2.37500000E+002, 1.98760335E+001
2.40000000E+002, 1.97192543E+001
2.42500000E+002, 1.90563150E+001
2.45000000E+002, 1.88149832E+001
2.47500000E+002, 1.90248047E+001
2.50000000E+002, 1.89045068E+001
2.52500000E+002, 1.86543046E+001
2.55000000E+002, 1.84290086E+001
2.57500000E+002, 1.76916911E+001
2.60000000E+002, 1.82115267E+001
2.62500000E+002, 1.78843774E+001
2.65000000E+002, 1.74431674E+001
2.67500000E+002, 1.72021172E+001
2.70000000E+002, 1.72238484E+001
2.72500000E+002, 1.67658837E+001
2.75000000E+002, 1.66281149E+001
2.77500000E+002, 1.71888325E+001
2.80000000E+002, 1.58098674E+001
2.82500000E+002, 1.57473967E+001
2.85000000E+002, 1.50931693E+001
2.87500000E+002, 1.54882812E+001
2.90000000E+002, 1.49370738E+001
2.92500000E+002, 1.46691567E+001
2.95000000E+002, 1.45975203E+001
2.97500000E+002, 1.26442376E+001
3.00000000E+002, 1.35484440E+001
3.02500000E+002, 1.24869074E+001
3.05000000E+002, 1.23305061E+001
3.07500000E+002, 1.21405548E+001
3.10000000E+002, 1.18502830E+001
3.12500000E+002, 9.53322526E+000
3.15000000E+002, 8.93115470E+000
3.17500000E+002, 8.32833048E+000
3.20000000E+002, 8.38216388E+000
3.22500000E+002, 6.67980114E+000
3.25000000E+002, 6.02628179E+000
3.27500000E+002, 3.39950476E+000
3.30000000E+002, 2.54118836E+000
3.32500000E+002, 1.24459375E+000
3.35000000E+002, -2.46302203E+000
3.37500000E+002, -5.15888480E+000
3.40000000E+002, -9.59971530E+000
3.42500000E+002, -2.71245367E+000
3.45000000E+002, 1.63843892E+000
3.47500000E+002, 4.93219287E+000
3.50000000E+002, 6.01301725E+000
3.52500000E+002, 8.24264538E+000
3.55000000E+002, 9.28258758E+000
3.57500000E+002, 1.04467285E+001
3.60000000E+002, 1.16738058E+001
3.62500000E+002, 1.30579130E+001
3.65000000E+002, 1.43982722E+001
3.67500000E+002, 1.45020183E+001
3.70000000E+002, 1.56063732E+001
3.72500000E+002, 1.61012997E+001
3.75000000E+002, 1.70120114E+001
3.77500000E+002, 1.79464674E+001
3.80000000E+002, 1.87818699E+001
3.82500000E+002, 1.90725064E+001
3.85000000E+002, 1.98171830E+001
3.87500000E+002, 2.00086629E+001
3.90000000E+002, 2.11199115E+001
3.92500000E+002, 2.16647934E+001
3.95000000E+002, 2.24324956E+001
3.97500000E+002, 2.28883619E+001
4.00000000E+002, 2.32140596E+001
4.02500000E+002, 2.41287534E+001
4.05000000E+002, 2.41693042E+001
4.07500000E+002, 2.51118934E+001
4.10000000E+002, 2.54678297E+001
4.12500000E+002, 2.59360529E+001
4.15000000E+002, 2.62024725E+001
4.17500000E+002, 2.66668253E+001
4.20000000E+002, 2.71613775E+001
4.22500000E+002, 2.76504808E+001
4.25000000E+002, 2.78623297E+001
4.27500000E+002, 2.83593224E+001
4.30000000E+002, 2.88266403E+001
4.32500000E+002, 2.94131820E+001
4.35000000E+002, 2.97473876E+001
4.37500000E+002, 3.02059968E+001
4.40000000E+002, 3.08628799E+001
4.42500000E+002, 3.12758281E+001
4.45000000E+002, 3.18039794E+001
4.47500000E+002, 3.23899179E+001
4.50000000E+002, 3.27952183E+001
4.52500000E+002, 3.32760475E+001
4.55000000E+002, 3.39532272E+001
4.57500000E+002, 3.42287357E+001
4.60000000E+002, 3.47842451E+001
4.62500000E+002, 3.50490206E+001
4.65000000E+002, 3.55510103E+001
4.67500000E+002, 3.59719721E+001
4.70000000E+002, 3.63017507E+001
4.72500000E+002, 3.67561712E+001
4.75000000E+002, 3.73222821E+001
4.77500000E+002, 3.78898192E+001
4.80000000E+002, 3.84386183E+001
4.82500000E+002, 3.90651310E+001
4.85000000E+002, 3.96767574E+001
4.87500000E+002, 4.04554824E+001
4.90000000E+002, 4.14392591E+001
4.92500000E+002, 4.23968793E+001
4.95000000E+002, 4.32191540E+001
4.97500000E+002, 4.36919411E+001
5.00000000E+002, 4.41904076E+001
5.02500000E+002, 4.48948046E+001
5.05000000E+002, 4.57475047E+001
5.07500000E+002, 4.67567608E+001
5.10000000E+002, 4.79318780E+001
5.12500000E+002, 4.94471953E+001
5.15000000E+002, 5.09305457E+001
5.17500000E+002, 5.27247535E+001
5.20000000E+002, 5.52194252E+001
5.22500000E+002, 5.81830228E+001
5.25000000E+002, 6.24043398E+001
5.27500000E+002, 7.01638827E+001
5.30000000E+002, 7.49152513E+001
5.32500000E+002, 6.46471535E+001
5.35000000E+002, 5.97974977E+001
5.37500000E+002, 5.67707237E+001
5.40000000E+002, 5.44081117E+001
5.42500000E+002, 5.26872821E+001
5.45000000E+002, 5.14673233E+001
5.47500000E+002, 5.01321299E+001
5.50000000E+002, 4.93205476E+001
5.52500000E+002, 4.83784347E+001
5.55000000E+002, 4.76712431E+001
5.57500000E+002, 4.68565530E+001
5.60000000E+002, 4.64050131E+001
5.62500000E+002, 4.59232351E+001
5.65000000E+002, 4.53028676E+001
5.67500000E+002, 4.49447903E+001
5.70000000E+002, 4.46742076E+001
5.72500000E+002, 4.40156137E+001
5.75000000E+002, 4.35515370E+001
5.77500000E+002, 4.32801969E+001
5.80000000E+002, 4.28077505E+001
5.82500000E+002, 4.24427664E+001
5.85000000E+002, 4.21081301E+001
5.87500000E+002, 4.16933883E+001
5.90000000E+002, 4.13868821E+001
5.92500000E+002, 4.12258824E+001
5.95000000E+002, 4.08854717E+001
5.97500000E+002, 4.05329720E+001
6.00000000E+002, 4.02517861E+001
6.02500000E+002, 4.00947293E+001
6.05000000E+002, 3.99470650E+001
6.07500000E+002, 3.96634980E+001
6.10000000E+002, 3.95451678E+001
6.12500000E+002, 3.94941703E+001
6.15000000E+002, 3.92191178E+001
6.17500000E+002, 3.91895677E+001
6.20000000E+002, 3.88644928E+001
6.22500000E+002, 3.84448333E+001
6.25000000E+002, 3.84625449E+001
6.27500000E+002, 3.83449810E+001
6.30000000E+002, 3.81788218E+001
6.32500000E+002, 3.80918558E+001
6.35000000E+002, 3.79753424E+001
6.37500000E+002, 3.78556731E+001
6.40000000E+002, 3.75954480E+001
6.42500000E+002, 3.75593657E+001
6.45000000E+002, 3.74966281E+001
6.47500000E+002, 3.71919922E+001
6.50000000E+002, 3.73421681E+001
6.52500000E+002, 3.69676644E+001
6.55000000E+002, 3.68662008E+001
6.57500000E+002, 3.68834364E+001
6.60000000E+002, 3.68410779E+001
6.62500000E+002, 3.68451870E+001
6.65000000E+002, 3.66940742E+001
6.67500000E+002, 3.67412306E+001
6.70000000E+002, 3.65087070E+001
6.72500000E+002, 3.65343441E+001
6.75000000E+002, 3.64466324E+001
6.77500000E+002, 3.64017125E+001
6.80000000E+002, 3.63379633E+001
6.82500000E+002, 3.63373724E+001
6.85000000E+002, 3.62053410E+001
6.87500000E+002, 3.61789973E+001
6.90000000E+002, 3.62122113E+001
